"priority","url","reason","submit_now","owner_requirement"
"1","/","homepage; production DID and call path verified","no - live technical verification passed","Search Console access required to verify indexed status"
"2","/services/24-hour-emergency-plumber","service; high emergency intent","no - live technical verification passed","Search Console access required to verify indexed status"
"3","/services/emergency-drain-cleaning","service; high drain intent","no - live technical verification passed","Search Console access required to verify indexed status"
"4","/services/main-sewer-line-clog","service; high sewer intent","no - live technical verification passed","Search Console access required to verify indexed status"
"5","/cost-guides/emergency-plumbing-cost-dfw","cost; pricing-intent support","no - live technical verification passed","Search Console access required to verify indexed status"
"6","/cost-guides/drain-cleaning-cost-dfw","cost; pricing-intent support","no - live technical verification passed","Search Console access required to verify indexed status"
"7","/problems/water-backing-up-in-shower-and-toilet","problem; urgent sewer symptom","no - live technical verification passed","Search Console access required to verify indexed status"
"8","/problems/water-shutoff-valve-will-not-close","problem; leak/shutoff cluster","no - live technical verification passed","Search Console access required to verify indexed status"
"9","/blog/best-questions-to-ask-before-you-book-an-emergency-plumber","guide; linkable decision support","no - live technical verification passed","Search Console access required to verify indexed status"
"10","/blog/water-shutoff-valve-will-not-close-during-a-leak","guide; owner-useful checklist","no - live technical verification passed","Search Console access required to verify indexed status"
