"Source URL","Component","Visible Label","Destination","Event Name","Event Parameters","Production Readiness","Placeholder Status","Owner Action Required","Validation Status"
"sitewide","Header CallButton","Request Emergency Help or Call {phone}","+1 tel when configured; /contact while placeholder","header_call_click","eventName, location, ctaLocation, pagePath, pageType, service, city, problem, deviceContext","Code ready; production phone not configured","phone placeholder","Provide tracked phone","Build passed"
"sitewide mobile","StickyCallBar CallButton","Request Emergency Help or Call {phone}","+1 tel when configured; /contact while placeholder","sticky_call_click","eventName, location, ctaLocation, pagePath, pageType, service, city, problem, deviceContext","Code ready; production phone not configured","phone placeholder","Provide tracked phone","Build passed"
"/","Hero CallButton","Request Emergency Help","/contact while phone placeholder","phone_click","homepage pagePath/pageType, service=Emergency plumbing, city=Dallas-Fort Worth, deviceContext","Safe fallback ready","phone placeholder","Provide tracked phone","Build passed"
"/contact","LeadForm","Submit Service Request","/api/lead","contact_form_start; contact_form_submit","pagePath, pageType, service, city, deviceContext; no submitted PII sent to event endpoint","UX ready; destination placeholder","lead storage placeholder","Provide CRM/webhook/email destination","Build passed"
"/partner-with-us","LeadForm","Submit Service Request","/api/lead","contact_form_start; contact_form_submit","pagePath, pageType=partner, service=Partner inquiry, city=Dallas-Fort Worth, deviceContext","UX ready; destination placeholder","lead storage placeholder","Provide partner lead workflow","Build passed"
"footer","TrackedLink","Partner with us","/partner-with-us","partner_route_click","eventName, ctaLocation=footer-partner-link, pagePath, pageType=footer, deviceContext","Ready","none","No","Build passed"
"/api/call-event","Route handler","not visible","server log","all allowed event names","sanitized event parameters; requestDestination contact-form-placeholder until phone configured","Ready for privacy-conscious logging","phone destination placeholder","Provide analytics/log destination if needed","Build passed"
"/api/lead","Route handler","not visible","redacted placeholder console log","service_request_placeholder_logged","city, service, urgency, pageUrl, UTM, phone last4, messageLength; no full phone/message returned","Validation ready; delivery not configured","lead storage placeholder","Provide approved destination","Build passed"
"/services/24-hour-emergency-plumber","Page CallButton and LeadForm","Request Emergency Help; Submit Service Request","/contact or /api/lead while phone is placeholder","service_page_call","pagePath, pageType, service/city/problem where available, ctaLocation, deviceContext","Ready with safe phone fallback and form UX","phone and lead destination placeholders","Provide phone and lead destination","Build passed"
"/services/emergency-drain-cleaning","Page CallButton and LeadForm","Request Emergency Help; Submit Service Request","/contact or /api/lead while phone is placeholder","service_page_call","pagePath, pageType, service/city/problem where available, ctaLocation, deviceContext","Ready with safe phone fallback and form UX","phone and lead destination placeholders","Provide phone and lead destination","Build passed"
"/problems/water-backing-up-in-shower-and-toilet","Page CallButton and LeadForm","Request Emergency Help; Submit Service Request","/contact or /api/lead while phone is placeholder","emergency_page_call","pagePath, pageType, service/city/problem where available, ctaLocation, deviceContext","Ready with safe phone fallback and form UX","phone and lead destination placeholders","Provide phone and lead destination","Build passed"
"/cost-guides/emergency-plumbing-cost-dfw","Page CallButton and LeadForm","Request Emergency Help; Submit Service Request","/contact or /api/lead while phone is placeholder","cost_page_call","pagePath, pageType, service/city/problem where available, ctaLocation, deviceContext","Ready with safe phone fallback and form UX","phone and lead destination placeholders","Provide phone and lead destination","Build passed"
"/cities/dallas/emergency-drain-cleaning","Page CallButton and LeadForm","Request Emergency Help; Submit Service Request","/contact or /api/lead while phone is placeholder","city_page_call","pagePath, pageType, service/city/problem where available, ctaLocation, deviceContext","Ready with safe phone fallback and form UX","phone and lead destination placeholders","Provide phone and lead destination","Build passed"
