"target","category","status","template","notes"
"outreach-1","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-2","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-3","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-4","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-5","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-6","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-7","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-8","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-9","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-10","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-11","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-12","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-13","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-14","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-15","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-16","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-17","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-18","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-19","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-20","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-21","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-22","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-23","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-24","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-25","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-26","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-27","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-28","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-29","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-30","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-31","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-32","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-33","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-34","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-35","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-36","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-37","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-38","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-39","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-40","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-41","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-42","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-43","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-44","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-45","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-46","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
"outreach-47","supplier","manual outreach only","partner/resource pitch","No spam automation"
"outreach-48","local publisher","manual outreach only","partner/resource pitch","No spam automation"
"outreach-49","property manager","manual outreach only","partner/resource pitch","No spam automation"
"outreach-50","restoration partner","manual outreach only","partner/resource pitch","No spam automation"
